sentiment,review_body,product_category
-1,This shirt is so small. i am not sure who came up with the sizing but you have to go up several sizes to get a comfortable fit. don't waste your time on this shirt. such a shame  it could have been very cute.,Blouses
-1,Really cute piece  but it's huge. i ordered an xxs petite and it was unfortunately extremely wide and not flattering. returning.,Blouses
-1,I love the color of this top but the style is not flattering. i normally wear a l or xl in retailer clothes and i ordered a l in this and it was massive! i went into the store to try on a medium and it fit much better but is still very bulky around the middle where the ruffles are and it is very wide. bummer,Blouses
-1,I fell in love with this shirt the moment i saw it!  unfortunately  when i went to put it on  there was a hole running down the seam in the back. i went to store to exchange  wore the shirt  and someone tells me i have two holes in the back of my shirt. horrified  i went home  took a look  both holes along the seam! i will be returning this  i really liked this shirt!,Blouses
-1,I'm sure there's someone out there who will look good in this but it certainly wasn't me. admittedly  i'm a less than ideal body type at a curvy 5' tall. still for a taller person this shirt runs short  for a curvy person this does nothing to accentuate a waist  for a short person this pattern is very busy even if the colors are beautiful  for a busty person the gathers around the chest make for a very frumpy look  and even for a short and thin person this shirt runs too big to get a good fit. c,Blouses
-1,This is a gorgeous top. very well made with a classy design. it fits true to size from the lower chest up. however  at about the mid-belly range  the shirt widens out and basically allows a 5 month twin pregnancy to comfortably fit in. size xs. i was so sad. for the price  i can't justify taking it for alterations. it would have been the perfect top.,Blouses
-1,It's sheer  the design /print is casual  but on silk like material. had it been made out of cotton would have definitely kept it! who is going to wear this in the blazing heat of summer???,Blouses
-1,Looks great on the photo and from previous reviews i decided to give it a try. the material seems cheap and stiff. would not fit my frame well.,Blouses
-1,Didn't work on this curvy gal.  sizing up would have helped with the button gaps  but the flowy shape of the blouse would have looked too maternity on a larger size.  major pass.,Blouses
0,The top is gorgeous and bohemian like with a loose fit. the top arrived with a small black stain and some of the lace already ripped. it might be too delicate for me to even exchange for another and wear. i am going to have to return it.,Blouses
0,Pros: pretty  nicely made.    cons: the fabric is stiffer than i was expecting  and the blouse cuts in under the arms. (i don't mean that it is tight or digs in  but it cuts in; you can't tell in the angle of the photo.) the blouse is short as well  and  as i am curvy  it really stuck out all around at the waist. worth trying on if you have a straighter figure.,Blouses
0,I loved the way this top looked in stock photos. the colors are bright and cheery and it's a great transition piece. but the way the sleeves are cut almost makes them feel like water wings (if that makes sense)? they are stiff and wide and awkward. i've worn this a few times  hoping maybe the sleeves would relax down. they haven't. maybe it will look okay under a blazer for the office or something.,Blouses
0,I bought this because i loved it online but in person there is another level to the shirt that i did notice in another picture. i didn't like the second level on me since i am a shorter person. just didn't fit my body quite right.,Blouses
0,I think this blouse would work for petites. it is super short and boxy. looked nothing like the fit on the model. sad to return it  love the print.,Blouses
0,This blouse is so cute...casual but still stylish. the problem was that is is a little short for someone with a long torso and it is almost too revealing...the v is so plunging you would have to either pin it our wear a cami. the beads on the ties on the sleeves are also rather heavy and they swing and roll around on your arm...maybe wouldn't bother some but it was a return for me.,Blouses
0,I love the pattern of this shirt but there is definitely a design flaw in the arm/armpits.,Blouses
0,I thought this top had shimmery dots  that is what it looks like in the picture. but when it arrived  it looks much plainer in-person and i could not believe it was this top. the dots are polka dots. the embroidery at the v-neck doesn't stand out much in the photo but it does in-person. the top runs true to size but the fit didn't feel as perfect for me. i am sending it back. i needed a more shimmery top.,Blouses
0,This shirt was strange. the bow tie was too thin and the dots were too dominant on the shirt. it looks okay in the model picture  but when i tried it on the bow and the dots just clashed.,Blouses
1,"I bought this blouse at the store today and i love it! they stylist brought it for me to try on with the green chinos and it was perfect. it will go with jeans or dark pants as well. very unique and flattering! i got a size 2. i'm 5'7'"" and 130 pounds.",Blouses
1,Great that it's hand washable because i hate the smell of dry cleaned garmets.,Blouses
